anios_estudiados,barrio,categoria_de_trabajo,edad,educacion_alcanzada,estado_marital,ganancia_perdida_declarada_bolsa_argentina,genero,horas_trabajo_registradas,religion,rol_familiar_registrado,tiene_alto_valor_adquisitivo,trabajo
10,Palermo,,67,1_anio,matrimonio_civil,0,hombre,2,cristianismo,casado,0,
11,Palermo,relacion_de_dependencia,18,2_anio,sin_matrimonio,0,mujer,22,cristianismo,con_hijos,0,otros
8,Palermo,empleado_municipal,31,7-8_grado,matrimonio_civil,0,hombre,40,cristianismo,casado,0,sector_primario
13,Palermo,relacion_de_dependencia,18,4_anio,sin_matrimonio,0,hombre,30,cristianismo,sin_familia,0,ventas
17,Balvanera,relacion_de_dependencia,52,universidad_3_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,otros
13,Palermo,relacion_de_dependencia,46,4_anio,matrimonio_civil,0,mujer,40,cristianismo,casada,0,otros
13,Palermo,relacion_de_dependencia,59,4_anio,matrimonio_civil,0,hombre,48,cristianismo,casado,0,ventas
13,Palermo,relacion_de_dependencia,44,4_anio,divorciado,14344,mujer,40,cristianismo,sin_familia,1,reparador
13,Palermo,relacion_de_dependencia,53,4_anio,divorciado,0,mujer,35,cristianismo,con_hijos,0,ventas
13,Palermo,empleado_municipal,49,4_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,1,seguridad
18,Palermo,relacion_de_dependencia,33,universidad_4_anio,matrimonio_civil,0,hombre,50,cristianismo,casado,0,profesional_especializado
9,Palermo,relacion_de_dependencia,30,9_grado,sin_matrimonio,0,hombre,40,cristianismo,sin_familia,0,ventas
20,Palermo,empleadao_estatal,43,universiada_6_anio,sin_matrimonio,0,mujer,50,cristianismo,sin_familia,1,profesional_especializado
15,Palermo,relacion_de_dependencia,57,universidad_1_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,profesional_especializado
14,Palermo,relacion_de_dependencia,37,5_anio,divorciado,0,mujer,40,cristianismo,soltero_a,0,reparador
14,Palermo,relacion_de_dependencia,28,5_anio,divorciado,0,mujer,25,judaismo,soltero_a,0,inspector
13,,relacion_de_dependencia,30,4_anio,matrimonio_civil,-1573,mujer,35,budismo,casada,0,ventas
17,Palermo,empleado_municipal,34,universidad_3_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,1,seguridad
14,Palermo,empleado_municipal,29,5_anio,sin_matrimonio,0,hombre,50,cristianismo,sin_familia,0,limpiador
20,Palermo,monotibutista,48,universiada_6_anio,matrimonio_civil,-1902,hombre,60,cristianismo,casado,1,profesional_especializado
14,Palermo,relacion_de_dependencia,37,5_anio,matrimonio_civil,0,hombre,48,cristianismo,casado,1,ventas
16,Puerto Madero,relacion_de_dependencia,48,universidad_2_anio,divorciado,0,mujer,40,cristianismo,soltero_a,0,directivo_gerente
13,Palermo,empleadao_estatal,32,4_anio,sin_matrimonio,0,hombre,40,judaismo,con_hijos,0,otros
18,Palermo,relacion_de_dependencia,76,universidad_4_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,1,directivo_gerente
17,Palermo,relacion_de_dependencia,44,universidad_3_anio,matrimonio_civil,15024,hombre,60,cristianismo,casado,1,directivo_gerente
18,Palermo,monotibutista,47,universidad_4_anio,sin_matrimonio,0,mujer,50,cristianismo,sin_familia,0,profesional_especializado
14,Palermo,relacion_de_dependencia,20,5_anio,sin_matrimonio,0,mujer,40,cristianismo,con_hijos,0,soporte_tecnico
13,Palermo,relacion_de_dependencia,29,4_anio,sin_matrimonio,0,hombre,40,cristianismo,sin_familia,0,reparador
13,Palermo,responsable_inscripto,32,4_anio,matrimonio_civil,7688,hombre,40,cristianismo,casado,1,reparador
10,Palermo,,17,1_anio,sin_matrimonio,34095,mujer,32,cristianismo,con_hijos,0,
11,Palermo,relacion_de_dependencia,30,2_anio,sin_matrimonio,0,hombre,40,cristianismo,con_hijos,0,limpiador
13,Palermo,empleado_municipal,31,4_anio,sin_matrimonio,0,mujer,40,cristianismo,sin_familia,0,entretenimiento
13,Palermo,relacion_de_dependencia,42,4_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,limpiador
17,Palermo,relacion_de_dependencia,24,universidad_3_anio,sin_matrimonio,0,hombre,40,cristianismo,otro,0,ventas
19,Palermo,relacion_de_dependencia,38,universiada_5_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,1,profesional_especializado
13,Recoleta,monotibutista,56,4_anio,matrimonio_civil,-1887,hombre,50,cristianismo,casado,1,otros
14,Palermo,relacion_de_dependencia,28,5_anio,matrimonio_civil,4064,mujer,25,cristianismo,casada,0,ventas
13,Palermo,relacion_de_dependencia,36,4_anio,sin_matrimonio,0,mujer,40,cristianismo,con_hijos,0,inspector
9,Palermo,relacion_de_dependencia,53,9_grado,matrimonio_civil,0,hombre,50,cristianismo,casado,0,limpiador
14,Palermo,responsable_inscripto,56,5_anio,matrimonio_civil,0,hombre,50,cristianismo,casado,0,ventas
15,Palermo,empleado_municipal,49,universidad_1_anio,matrimonio_civil,0,hombre,40,judaismo,casado,1,reparador
14,Palermo,relacion_de_dependencia,55,5_anio,matrimonio_civil,0,hombre,56,cristianismo,casado,0,ventas
13,Palermo,relacion_de_dependencia,22,4_anio,sin_matrimonio,0,hombre,41,cristianismo,sin_familia,0,reparador
14,Palermo,relacion_de_dependencia,21,5_anio,sin_matrimonio,0,mujer,40,cristianismo,con_hijos,0,otros
17,Palermo,relacion_de_dependencia,40,universidad_3_anio,matrimonio_civil,0,hombre,60,cristianismo,casado,0,directivo_gerente
17,Villa Urquiza,relacion_de_dependencia,30,universidad_3_anio,sin_matrimonio,0,hombre,40,judaismo,con_hijos,0,directivo_gerente
17,Palermo,empleado_provincial,29,universidad_3_anio,matrimonio_civil,0,hombre,50,cristianismo,casado,1,profesional_especializado
14,Palermo,relacion_de_dependencia,19,5_anio,sin_matrimonio,0,hombre,35,judaismo,con_hijos,0,otros
17,Palermo,relacion_de_dependencia,47,universidad_3_anio,matrimonio_civil,0,mujer,40,cristianismo,casada,1,directivo_gerente
14,Palermo,relacion_de_dependencia,20,5_anio,sin_matrimonio,-1719,mujer,28,cristianismo,con_hijos,0,entretenimiento
16,Palermo,relacion_de_dependencia,31,universidad_2_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,1,entretenimiento
13,Palermo,,35,4_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,
14,Palermo,relacion_de_dependencia,39,5_anio,divorciado,0,hombre,40,cristianismo,sin_familia,0,reparador
16,Palermo,relacion_de_dependencia,28,universidad_2_anio,sin_matrimonio,0,mujer,60,cristianismo,sin_familia,0,ventas
13,Palermo,relacion_de_dependencia,24,4_anio,sin_matrimonio,-1762,mujer,40,cristianismo,sin_familia,0,otros
13,Palermo,monotibutista,38,4_anio,matrimonio_civil,4386,hombre,35,cristianismo,casado,0,reparador
17,Palermo,relacion_de_dependencia,37,universidad_3_anio,matrimonio_civil,0,hombre,50,cristianismo,casado,0,ventas
16,Palermo,relacion_de_dependencia,46,universidad_2_anio,divorciado,0,mujer,36,judaismo,sin_familia,0,soporte_tecnico
18,Nueva Pompeya,empleadao_estatal,38,universidad_4_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,1,profesional_especializado
13,Palermo,monotibutista,43,4_anio,matrimonio_civil,0,hombre,60,cristianismo,casado,0,reparador
15,Palermo,relacion_de_dependencia,27,universidad_1_anio,matrimonio_civil,0,mujer,35,cristianismo,casada,0,entretenimiento
14,Palermo,relacion_de_dependencia,20,5_anio,sin_matrimonio,0,hombre,20,cristianismo,con_hijos,0,ventas
14,Palermo,relacion_de_dependencia,49,5_anio,matrimonio_civil,0,hombre,40,budismo,casado,1,reparador
13,Palermo,responsable_inscripto,61,4_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,reparador
14,Palermo,relacion_de_dependencia,27,5_anio,sin_matrimonio,0,mujer,40,cristianismo,con_hijos,0,ventas
14,Belgrano,relacion_de_dependencia,19,5_anio,sin_matrimonio,0,hombre,30,cristianismo,con_hijos,0,otros
15,Palermo,relacion_de_dependencia,45,universidad_1_anio,sin_matrimonio,-1564,mujer,40,cristianismo,sin_familia,1,profesional_especializado
14,Palermo,relacion_de_dependencia,70,5_anio,sin_matrimonio,0,hombre,40,cristianismo,otro,0,soporte_tecnico
13,Palermo,relacion_de_dependencia,31,4_anio,sin_matrimonio,0,mujer,30,judaismo,soltero_a,0,transporte
14,Palermo,relacion_de_dependencia,22,5_anio,matrimonio_civil,0,hombre,24,cristianismo,casado,0,otros
13,Palermo,relacion_de_dependencia,36,4_anio,viudo_a,0,mujer,24,cristianismo,soltero_a,0,otros
11,Palermo,relacion_de_dependencia,64,2_anio,matrimonio_civil,-2179,hombre,40,cristianismo,casado,0,reparador
14,Palermo,,43,5_anio,divorciado,0,mujer,40,cristianismo,sin_familia,0,
14,Belgrano,empleado_municipal,47,5_anio,divorciado,0,mujer,38,cristianismo,soltero_a,0,entretenimiento
13,Palermo,relacion_de_dependencia,34,4_anio,sin_matrimonio,0,mujer,40,cristianismo,sin_familia,0,entretenimiento
17,San Isidro,relacion_de_dependencia,33,universidad_3_anio,sin_matrimonio,0,mujer,40,budismo,otro,0,directivo_gerente
13,Palermo,relacion_de_dependencia,21,4_anio,sin_matrimonio,0,hombre,35,cristianismo,con_hijos,0,reparador
13,Palermo,,52,4_anio,divorciado,0,hombre,45,cristianismo,sin_familia,1,
13,Palermo,relacion_de_dependencia,48,4_anio,matrimonio_civil,0,hombre,46,cristianismo,casado,0,reparador
17,Palermo,relacion_de_dependencia,23,universidad_3_anio,sin_matrimonio,0,hombre,40,cristianismo,sin_familia,0,limpiador
14,Palermo,monotibutista,71,5_anio,separado,-1816,hombre,2,judaismo,soltero_a,0,ventas
13,Palermo,relacion_de_dependencia,29,4_anio,divorciado,0,hombre,60,cristianismo,sin_familia,0,reparador
17,Palermo,relacion_de_dependencia,42,universidad_3_anio,separado,0,hombre,50,judaismo,otro,0,otros
4,Palermo,,68,1-4_grado,divorciado,0,mujer,20,cristianismo,sin_familia,0,
13,Palermo,relacion_de_dependencia,25,4_anio,sin_matrimonio,0,mujer,40,cristianismo,soltero_a,0,otros
18,Palermo,responsable_inscripto,44,universidad_4_anio,divorciado,0,mujer,40,budismo,soltero_a,0,directivo_gerente
13,Puerto Madero,relacion_de_dependencia,28,4_anio,sin_matrimonio,0,mujer,40,budismo,sin_familia,0,directivo_gerente
18,Palermo,monotibutista,45,universidad_4_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,1,ventas
14,Belgrano,relacion_de_dependencia,36,5_anio,divorciado,0,mujer,40,cristianismo,soltero_a,0,otros
16,Palermo,empleadao_estatal,39,universidad_2_anio,sin_matrimonio,0,hombre,42,cristianismo,sin_familia,0,directivo_gerente
18,Palermo,empleado_provincial,46,universidad_4_anio,viudo_a,0,hombre,40,cristianismo,soltero_a,0,seguridad
11,Palermo,relacion_de_dependencia,18,2_anio,sin_matrimonio,0,hombre,16,cristianismo,con_hijos,0,limpiador
15,Palermo,empleado_municipal,66,universidad_1_anio,viudo_a,0,mujer,20,cristianismo,sin_familia,0,profesional_especializado
13,Palermo,relacion_de_dependencia,27,4_anio,sin_matrimonio,-1980,hombre,40,cristianismo,sin_familia,0,otros
13,Palermo,empleado_provincial,28,4_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,seguridad
14,Palermo,relacion_de_dependencia,51,5_anio,matrimonio_civil,-1977,hombre,40,cristianismo,casado,1,ventas
17,Palermo,relacion_de_dependencia,27,universidad_3_anio,sin_matrimonio,0,hombre,50,cristianismo,sin_familia,0,reparador
17,Palermo,empleado_provincial,28,universidad_3_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,1,profesional_especializado
13,Palermo,relacion_de_dependencia,27,4_anio,pareja_no_presente,0,mujer,25,cristianismo,soltero_a,0,ventas
13,Palermo,relacion_de_dependencia,21,4_anio,sin_matrimonio,0,hombre,40,judaismo,con_hijos,0,reparador
13,Palermo,relacion_de_dependencia,34,4_anio,sin_matrimonio,0,hombre,40,judaismo,sin_familia,0,limpiador
13,Palermo,relacion_de_dependencia,18,4_anio,sin_matrimonio,0,hombre,12,cristianismo,con_hijos,0,otros
17,Palermo,relacion_de_dependencia,33,universidad_3_anio,matrimonio_civil,0,hombre,65,cristianismo,casado,0,profesional_especializado
14,Palermo,empleado_municipal,44,5_anio,matrimonio_civil,0,hombre,38,judaismo,casado,1,directivo_gerente
14,Palermo,relacion_de_dependencia,43,5_anio,divorciado,0,mujer,40,cristianismo,sin_familia,0,entretenimiento
14,Palermo,relacion_de_dependencia,30,5_anio,sin_matrimonio,0,hombre,45,judaismo,sin_familia,0,reparador
8,Belgrano,relacion_de_dependencia,40,7-8_grado,matrimonio_civil,0,hombre,40,cristianismo,casado,1,inspector
14,Palermo,empleadao_estatal,37,5_anio,matrimonio_civil,0,hombre,42,cristianismo,casado,1,entretenimiento
13,Palermo,relacion_de_dependencia,34,4_anio,matrimonio_civil,0,hombre,40,judaismo,casado,0,entretenimiento
17,Palermo,monotibutista,41,universidad_3_anio,divorciado,0,mujer,40,cristianismo,sin_familia,0,directivo_gerente
17,Palermo,,53,universidad_3_anio,divorciado,0,mujer,50,cristianismo,sin_familia,0,
18,Palermo,relacion_de_dependencia,31,universidad_4_anio,matrimonio_civil,0,mujer,50,cristianismo,casada,0,profesional_especializado
20,Palermo,empleado_provincial,58,universiada_6_anio,matrimonio_civil,0,hombre,1,cristianismo,casado,1,profesional_especializado
14,Palermo,relacion_de_dependencia,38,5_anio,divorciado,0,mujer,28,judaismo,sin_familia,0,inspector
14,Palermo,relacion_de_dependencia,24,5_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,inspector
17,Palermo,empleado_municipal,41,universidad_3_anio,matrimonio_civil,0,hombre,40,judaismo,casado,0,reparador
14,Palermo,relacion_de_dependencia,47,5_anio,matrimonio_civil,0,hombre,45,cristianismo,casado,0,soporte_tecnico
17,Palermo,empleadao_estatal,41,universidad_3_anio,matrimonio_civil,0,hombre,24,cristianismo,casado,0,soporte_tecnico
6,Belgrano,relacion_de_dependencia,23,5-6_grado,matrimonio_civil,0,hombre,40,cristianismo,otro,0,transporte
14,Palermo,relacion_de_dependencia,36,5_anio,divorciado,0,hombre,40,cristianismo,sin_familia,0,reparador
18,Palermo,empleadao_estatal,40,universidad_4_anio,sin_matrimonio,14084,mujer,55,cristianismo,sin_familia,1,directivo_gerente
18,Palermo,relacion_de_dependencia,35,universidad_4_anio,matrimonio_civil,7298,hombre,40,cristianismo,otro,1,profesional_especializado
13,Palermo,monotibutista,24,4_anio,sin_matrimonio,0,hombre,40,cristianismo,sin_familia,0,ventas
18,Palermo,relacion_de_dependencia,26,universidad_4_anio,sin_matrimonio,-1876,mujer,40,cristianismo,sin_familia,0,profesional_especializado
13,Chacarita,,19,4_anio,sin_matrimonio,0,hombre,40,cristianismo,con_hijos,0,
17,Palermo,relacion_de_dependencia,51,universidad_3_anio,matrimonio_civil,0,hombre,50,cristianismo,casado,1,directivo_gerente
14,Palermo,empleado_municipal,42,5_anio,sin_matrimonio,-1340,mujer,40,cristianismo,sin_familia,0,profesional_especializado
13,Palermo,empleado_provincial,37,4_anio,divorciado,0,mujer,35,cristianismo,soltero_a,0,entretenimiento
11,Palermo,relacion_de_dependencia,18,2_anio,sin_matrimonio,0,mujer,40,cristianismo,con_hijos,0,ventas
17,Palermo,relacion_de_dependencia,36,universidad_3_anio,matrimonio_civil,7298,hombre,36,judaismo,casado,1,otros
13,Palermo,relacion_de_dependencia,35,4_anio,divorciado,0,hombre,60,cristianismo,sin_familia,0,reparador
13,Palermo,responsable_inscripto,58,4_anio,matrimonio_civil,15024,mujer,35,cristianismo,casada,1,ventas
11,Palermo,relacion_de_dependencia,17,2_anio,sin_matrimonio,0,mujer,12,cristianismo,con_hijos,0,ventas
13,Palermo,empleado_municipal,44,4_anio,matrimonio_civil,0,hombre,40,judaismo,casado,0,transporte
13,Palermo,relacion_de_dependencia,37,4_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,1,reparador
14,Palermo,relacion_de_dependencia,35,5_anio,sin_matrimonio,0,mujer,40,ateismo,sin_familia,0,ventas
13,Palermo,relacion_de_dependencia,60,4_anio,matrimonio_civil,0,hombre,40,budismo,casado,0,reparador
8,Palermo,responsable_inscripto,54,7-8_grado,matrimonio_civil,0,hombre,40,cristianismo,casado,1,inspector
17,Palermo,relacion_de_dependencia,37,universidad_3_anio,sin_matrimonio,0,hombre,60,judaismo,sin_familia,1,directivo_gerente
16,Palermo,relacion_de_dependencia,50,universidad_2_anio,divorciado,0,mujer,40,cristianismo,sin_familia,0,ventas
17,Flores,relacion_de_dependencia,38,universidad_3_anio,matrimonio_civil,0,hombre,50,cristianismo,casado,0,ventas
17,Palermo,relacion_de_dependencia,45,universidad_3_anio,matrimonio_civil,0,hombre,55,cristianismo,casado,0,profesional_especializado
10,Palermo,relacion_de_dependencia,25,1_anio,sin_matrimonio,0,hombre,40,cristianismo,sin_familia,0,reparador
14,Palermo,relacion_de_dependencia,31,5_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,limpiador
4,Palermo,,64,1-4_grado,divorciado,0,hombre,40,cristianismo,sin_familia,0,
13,Palermo,relacion_de_dependencia,90,4_anio,sin_matrimonio,-2206,hombre,40,judaismo,sin_familia,0,otros
13,Palermo,relacion_de_dependencia,54,4_anio,matrimonio_civil,0,hombre,20,judaismo,casado,0,entretenimiento
1,Palermo,empleado_municipal,53,preescolar,sin_matrimonio,0,mujer,35,cristianismo,sin_familia,0,inspector
13,Palermo,relacion_de_dependencia,18,4_anio,sin_matrimonio,0,mujer,40,cristianismo,con_hijos,0,ventas
10,Palermo,,60,1_anio,divorciado,0,mujer,10,ateismo,sin_familia,0,
13,Palermo,monotibutista,66,4_anio,matrimonio_civil,1409,hombre,50,cristianismo,casado,0,sector_primario
15,Liniers,relacion_de_dependencia,75,universidad_1_anio,viudo_a,0,mujer,20,cristianismo,sin_familia,0,entretenimiento
13,Palermo,relacion_de_dependencia,65,4_anio,divorciado,0,mujer,40,cristianismo,sin_familia,0,entretenimiento
11,Palermo,relacion_de_dependencia,35,2_anio,separado,3674,hombre,40,judaismo,sin_familia,0,transporte
13,Palermo,relacion_de_dependencia,41,4_anio,divorciado,0,mujer,38,judaismo,soltero_a,0,ventas
14,Palermo,relacion_de_dependencia,25,5_anio,sin_matrimonio,0,hombre,42,cristianismo,sin_familia,0,entretenimiento
