id,anios_estudiados,barrio,categoria_de_trabajo,edad,educacion_alcanzada,estado_marital,ganancia_perdida_declarada_bolsa_argentina,genero,horas_trabajo_registradas,religion,representatividad_poblacional,rol_familiar_registrado,trabajo
76,10,Palermo,,17,1_anio,sin_matrimonio,0,hombre,40,cristianismo,165361,con_hijos,
77,13,Palermo,relacion_de_dependencia,41,4_anio,matrimonio_civil,0,hombre,50,cristianismo,75012,casado,inspector
78,13,Palermo,responsable_inscripto,69,4_anio,matrimonio_civil,0,hombre,30,cristianismo,174379,casado,ventas
79,13,Palermo,relacion_de_dependencia,50,4_anio,matrimonio_civil,0,hombre,40,cristianismo,312477,casado,transporte
80,14,Palermo,relacion_de_dependencia,20,5_anio,sin_matrimonio,0,mujer,40,cristianismo,72055,sin_familia,entretenimiento
81,14,Palermo,responsable_inscripto,45,5_anio,matrimonio_civil,0,hombre,50,cristianismo,67001,casado,inspector
82,17,Palermo,relacion_de_dependencia,23,universidad_3_anio,sin_matrimonio,0,hombre,40,cristianismo,213734,sin_familia,directivo_gerente
83,14,Palermo,relacion_de_dependencia,24,5_anio,separado,-1876,hombre,40,cristianismo,83141,sin_familia,otros
84,13,,responsable_inscripto,44,4_anio,matrimonio_civil,99999,hombre,50,cristianismo,223881,casado,reparador
85,14,Palermo,monotibutista,31,5_anio,matrimonio_civil,0,hombre,50,cristianismo,113752,casado,reparador
86,13,Palermo,relacion_de_dependencia,43,4_anio,separado,0,mujer,44,cristianismo,170482,sin_familia,inspector
87,11,Palermo,empleadao_estatal,20,2_anio,sin_matrimonio,0,mujer,10,cristianismo,244689,con_hijos,otros
88,13,Palermo,relacion_de_dependencia,55,4_anio,matrimonio_civil,0,hombre,56,cristianismo,160631,casado,ventas
89,14,Palermo,empleadao_estatal,24,5_anio,sin_matrimonio,0,hombre,40,cristianismo,228724,sin_familia,ejercito
90,18,Palermo,,41,universidad_4_anio,matrimonio_civil,7688,mujer,10,cristianismo,38434,casada,
91,17,Palermo,relacion_de_dependencia,59,universidad_3_anio,sin_matrimonio,0,mujer,25,cristianismo,292946,sin_familia,directivo_gerente
92,8,Palermo,empleadao_estatal,49,7-8_grado,sin_matrimonio,0,hombre,20,judaismo,77443,sin_familia,otros
93,18,Palermo,relacion_de_dependencia,33,universidad_4_anio,matrimonio_civil,5178,mujer,10,cristianismo,176410,casada,profesional_especializado
94,17,Palermo,empleadao_estatal,59,universidad_3_anio,divorciado,0,hombre,40,cristianismo,98984,sin_familia,entretenimiento
95,18,Palermo,relacion_de_dependencia,34,universidad_4_anio,sin_matrimonio,0,hombre,40,ateismo,198751,sin_familia,otros
96,13,Palermo,relacion_de_dependencia,20,4_anio,sin_matrimonio,0,hombre,40,cristianismo,479296,con_hijos,limpiador
97,17,Palermo,relacion_de_dependencia,25,universidad_3_anio,sin_matrimonio,0,mujer,40,cristianismo,235218,con_hijos,directivo_gerente
98,10,Palermo,relacion_de_dependencia,49,1_anio,matrimonio_civil,0,hombre,40,cristianismo,164877,casado,sector_primario
99,13,Palermo,relacion_de_dependencia,59,4_anio,matrimonio_civil,0,hombre,40,cristianismo,272087,casado,transporte
100,13,Palermo,relacion_de_dependencia,20,4_anio,sin_matrimonio,0,mujer,40,cristianismo,169699,sin_familia,entretenimiento
101,14,Palermo,,51,5_anio,matrimonio_civil,0,mujer,18,cristianismo,189762,casada,
102,14,Palermo,relacion_de_dependencia,33,5_anio,sin_matrimonio,0,mujer,35,judaismo,202191,soltero_a,entretenimiento
103,14,Palermo,relacion_de_dependencia,22,5_anio,sin_matrimonio,0,hombre,39,judaismo,212261,con_hijos,transporte
104,9,Palermo,monotibutista,58,9_grado,viudo_a,0,mujer,40,cristianismo,301568,sin_familia,otros
105,13,Palermo,empleado_municipal,52,4_anio,viudo_a,0,mujer,28,cristianismo,155233,soltero_a,entretenimiento
106,10,Palermo,relacion_de_dependencia,36,1_anio,separado,0,mujer,40,cristianismo,75826,sin_familia,inspector
107,13,Palermo,empleado_municipal,41,4_anio,matrimonio_civil,0,hombre,40,cristianismo,201520,casado,seguridad
108,13,Palermo,relacion_de_dependencia,28,4_anio,sin_matrimonio,2597,hombre,40,cristianismo,154236,con_hijos,transporte
109,14,Palermo,relacion_de_dependencia,19,5_anio,sin_matrimonio,0,hombre,16,judaismo,289227,con_hijos,limpiador
110,13,Palermo,relacion_de_dependencia,18,4_anio,sin_matrimonio,0,mujer,28,cristianismo,217439,sin_familia,otros
111,13,Palermo,relacion_de_dependencia,18,4_anio,sin_matrimonio,0,mujer,48,cristianismo,179020,con_hijos,inspector
112,14,Palermo,relacion_de_dependencia,28,5_anio,matrimonio_civil,0,hombre,40,cristianismo,149624,casado,reparador
113,15,Palermo,relacion_de_dependencia,29,universidad_1_anio,matrimonio_civil,0,hombre,40,cristianismo,337266,casado,directivo_gerente
114,13,Palermo,,20,4_anio,sin_matrimonio,0,mujer,20,cristianismo,30796,con_hijos,
115,14,Palermo,relacion_de_dependencia,40,5_anio,matrimonio_civil,0,hombre,40,cristianismo,103541,casado,limpiador
116,13,Palermo,relacion_de_dependencia,26,4_anio,sin_matrimonio,0,hombre,40,cristianismo,206721,soltero_a,limpiador
117,13,Palermo,relacion_de_dependencia,46,4_anio,matrimonio_civil,0,hombre,40,cristianismo,96773,casado,reparador
118,11,Palermo,relacion_de_dependencia,23,2_anio,sin_matrimonio,0,mujer,24,cristianismo,200967,sin_familia,otros
119,13,Palermo,relacion_de_dependencia,44,4_anio,pareja_no_presente,0,mujer,40,cristianismo,180019,soltero_a,entretenimiento
120,17,Palermo,relacion_de_dependencia,43,universidad_3_anio,divorciado,0,mujer,40,cristianismo,179866,soltero_a,ventas
121,17,Palermo,empleado_municipal,31,universidad_3_anio,divorciado,0,mujer,60,cristianismo,198770,soltero_a,profesional_especializado
122,14,Palermo,relacion_de_dependencia,18,5_anio,sin_matrimonio,0,mujer,25,cristianismo,219256,con_hijos,ventas
123,14,Palermo,relacion_de_dependencia,19,5_anio,sin_matrimonio,0,hombre,30,cristianismo,248730,con_hijos,seguridad
124,14,Palermo,relacion_de_dependencia,41,5_anio,divorciado,0,mujer,40,cristianismo,110732,sin_familia,soporte_tecnico
125,13,Palermo,relacion_de_dependencia,41,4_anio,divorciado,0,mujer,40,cristianismo,181020,soltero_a,limpiador
126,13,Palermo,relacion_de_dependencia,69,4_anio,divorciado,0,mujer,25,cristianismo,183791,sin_familia,entretenimiento
127,20,Palermo,empleadao_estatal,48,universiada_6_anio,matrimonio_civil,0,mujer,40,cristianismo,42972,casada,profesional_especializado
128,13,Palermo,relacion_de_dependencia,28,4_anio,sin_matrimonio,0,hombre,40,cristianismo,134813,con_hijos,profesional_especializado
129,13,La Paternal,monotibutista,27,4_anio,matrimonio_civil,0,hombre,60,cristianismo,115438,casado,reparador
130,18,Palermo,relacion_de_dependencia,41,universidad_4_anio,matrimonio_civil,-2415,hombre,50,cristianismo,239296,casado,profesional_especializado
131,14,Palermo,relacion_de_dependencia,41,5_anio,matrimonio_civil,0,hombre,40,cristianismo,428420,casado,entretenimiento
132,13,Palermo,relacion_de_dependencia,24,4_anio,sin_matrimonio,0,mujer,40,judaismo,247846,soltero_a,reparador
133,13,Palermo,,20,4_anio,sin_matrimonio,0,mujer,40,cristianismo,334105,sin_familia,
134,20,Palermo,responsable_inscripto,42,universiada_6_anio,matrimonio_civil,0,hombre,41,cristianismo,100793,casado,profesional_especializado
135,13,Palermo,relacion_de_dependencia,57,4_anio,matrimonio_civil,0,hombre,48,judaismo,244478,casado,reparador
136,16,Palermo,relacion_de_dependencia,30,universidad_2_anio,sin_matrimonio,0,mujer,40,cristianismo,142921,sin_familia,profesional_especializado
137,13,Palermo,relacion_de_dependencia,36,4_anio,matrimonio_civil,0,hombre,60,cristianismo,182863,casado,ventas
138,8,Palermo,relacion_de_dependencia,49,7-8_grado,matrimonio_civil,0,hombre,40,judaismo,171128,casado,inspector
139,13,Palermo,relacion_de_dependencia,33,4_anio,matrimonio_civil,0,mujer,35,cristianismo,145402,casada,inspector
140,10,Palermo,relacion_de_dependencia,23,1_anio,matrimonio_civil,0,hombre,40,cristianismo,306309,casado,sector_primario
141,18,Palermo,relacion_de_dependencia,46,universidad_4_anio,matrimonio_civil,0,hombre,40,cristianismo,83822,casado,profesional_especializado
142,14,Villa Urquiza,relacion_de_dependencia,18,5_anio,sin_matrimonio,0,mujer,22,budismo,262118,con_hijos,entretenimiento
143,13,Palermo,relacion_de_dependencia,40,4_anio,matrimonio_civil,7688,hombre,55,cristianismo,155972,casado,directivo_gerente
144,13,Palermo,responsable_inscripto,43,4_anio,matrimonio_civil,-1887,hombre,45,cristianismo,214503,casado,directivo_gerente
145,18,Palermo,relacion_de_dependencia,34,universidad_4_anio,sin_matrimonio,0,mujer,30,cristianismo,159303,con_hijos,profesional_especializado
146,13,Palermo,monotibutista,47,4_anio,viudo_a,0,mujer,30,cristianismo,174995,sin_familia,directivo_gerente
147,15,Palermo,relacion_de_dependencia,44,universidad_1_anio,viudo_a,0,mujer,30,cristianismo,26669,soltero_a,directivo_gerente
148,13,Palermo,relacion_de_dependencia,33,4_anio,matrimonio_civil,0,hombre,40,cristianismo,177727,casado,ventas
149,17,Palermo,relacion_de_dependencia,55,universidad_3_anio,matrimonio_civil,15024,hombre,50,cristianismo,124771,casado,directivo_gerente
150,13,Palermo,relacion_de_dependencia,19,4_anio,sin_matrimonio,2907,hombre,30,cristianismo,456736,sin_familia,ventas
151,14,Palermo,relacion_de_dependencia,28,5_anio,sin_matrimonio,0,hombre,14,judaismo,216604,sin_familia,otros
152,11,Palermo,relacion_de_dependencia,27,2_anio,matrimonio_civil,0,mujer,32,judaismo,221561,casada,otros
153,8,Palermo,relacion_de_dependencia,50,7-8_grado,matrimonio_civil,0,hombre,20,cristianismo,114564,casado,inspector
154,11,Palermo,relacion_de_dependencia,22,2_anio,sin_matrimonio,0,hombre,40,cristianismo,315476,soltero_a,reparador
155,17,Palermo,empleado_provincial,40,universidad_3_anio,matrimonio_civil,-1887,hombre,45,cristianismo,67874,casado,entretenimiento
156,14,Palermo,relacion_de_dependencia,25,5_anio,sin_matrimonio,0,mujer,40,cristianismo,126110,con_hijos,entretenimiento
157,13,Palermo,empleado_municipal,26,4_anio,sin_matrimonio,0,hombre,40,cristianismo,102264,sin_familia,reparador
158,17,Palermo,relacion_de_dependencia,22,universidad_3_anio,sin_matrimonio,0,hombre,25,cristianismo,537222,sin_familia,ventas
159,14,Palermo,relacion_de_dependencia,42,5_anio,sin_matrimonio,-625,mujer,40,judaismo,113732,soltero_a,limpiador
160,17,Palermo,responsable_inscripto,38,universidad_3_anio,divorciado,0,hombre,40,cristianismo,93225,sin_familia,directivo_gerente
161,11,Palermo,relacion_de_dependencia,55,2_anio,matrimonio_civil,0,hombre,30,cristianismo,43064,casado,otros
162,13,Palermo,relacion_de_dependencia,32,4_anio,matrimonio_civil,0,hombre,40,cristianismo,136921,casado,ventas
163,13,Palermo,relacion_de_dependencia,22,4_anio,matrimonio_civil,0,hombre,45,cristianismo,388885,casado,reparador
164,17,Palermo,relacion_de_dependencia,29,universidad_3_anio,sin_matrimonio,0,hombre,40,cristianismo,142249,con_hijos,ventas
165,18,Palermo,empleado_provincial,46,universidad_4_anio,matrimonio_civil,0,hombre,45,cristianismo,56841,casado,directivo_gerente
166,14,Palermo,relacion_de_dependencia,31,5_anio,matrimonio_civil,0,hombre,40,cristianismo,156493,casado,directivo_gerente
167,20,Palermo,monotibutista,58,universiada_6_anio,matrimonio_civil,0,hombre,16,cristianismo,159021,casado,profesional_especializado
168,13,Palermo,relacion_de_dependencia,42,4_anio,matrimonio_civil,0,hombre,45,cristianismo,190910,casado,reparador
169,13,Palermo,relacion_de_dependencia,18,4_anio,sin_matrimonio,0,hombre,25,cristianismo,41879,soltero_a,limpiador
170,13,Palermo,empleado_municipal,58,4_anio,divorciado,0,hombre,33,cristianismo,137249,sin_familia,directivo_gerente
171,13,Palermo,relacion_de_dependencia,54,4_anio,matrimonio_civil,-1887,hombre,40,cristianismo,236157,casado,profesional_especializado
172,18,Palermo,relacion_de_dependencia,34,universidad_4_anio,sin_matrimonio,0,hombre,40,cristianismo,189759,sin_familia,profesional_especializado
173,17,Palermo,relacion_de_dependencia,26,universidad_3_anio,sin_matrimonio,0,mujer,40,cristianismo,239877,sin_familia,entretenimiento
174,12,Palermo,relacion_de_dependencia,61,3_anio,matrimonio_civil,0,hombre,60,cristianismo,21175,casado,directivo_gerente
175,18,Palermo,empleado_municipal,48,universidad_4_anio,separado,0,mujer,40,judaismo,67229,soltero_a,entretenimiento
176,14,Palermo,relacion_de_dependencia,36,5_anio,matrimonio_civil,0,hombre,45,cristianismo,236391,casado,directivo_gerente
177,15,Palermo,relacion_de_dependencia,24,universidad_1_anio,matrimonio_civil,0,hombre,45,cristianismo,325596,casado,inspector
178,14,Palermo,relacion_de_dependencia,40,5_anio,matrimonio_civil,0,hombre,37,cristianismo,83411,casado,inspector
179,13,Palermo,responsable_inscripto,33,4_anio,matrimonio_civil,0,hombre,50,cristianismo,154227,casado,ventas
180,14,Palermo,relacion_de_dependencia,37,5_anio,matrimonio_civil,-1887,hombre,40,cristianismo,248010,casado,inspector
181,18,Palermo,relacion_de_dependencia,34,universidad_4_anio,sin_matrimonio,4650,hombre,40,cristianismo,198613,con_hijos,directivo_gerente
182,14,Palermo,responsable_inscripto,56,5_anio,matrimonio_civil,15024,hombre,40,cristianismo,321529,casado,directivo_gerente
183,13,Palermo,,28,4_anio,matrimonio_civil,0,mujer,38,cristianismo,168524,con_hijos,
184,17,Palermo,relacion_de_dependencia,37,universidad_3_anio,viudo_a,0,mujer,55,cristianismo,203079,sin_familia,directivo_gerente
185,13,Palermo,relacion_de_dependencia,44,4_anio,divorciado,0,mujer,40,judaismo,284652,soltero_a,ventas
186,14,Palermo,,64,5_anio,matrimonio_civil,0,hombre,8,cristianismo,201368,casado,
187,13,Palermo,relacion_de_dependencia,54,4_anio,divorciado,0,hombre,45,cristianismo,59840,sin_familia,limpiador
188,13,Palermo,relacion_de_dependencia,23,4_anio,sin_matrimonio,0,hombre,50,cristianismo,52753,sin_familia,inspector
189,17,,empleado_provincial,34,universidad_3_anio,pareja_no_presente,0,hombre,40,judaismo,513100,sin_familia,sector_primario
190,13,Palermo,relacion_de_dependencia,22,4_anio,sin_matrimonio,0,mujer,45,cristianismo,199266,sin_familia,otros
191,17,Palermo,relacion_de_dependencia,33,universidad_3_anio,matrimonio_civil,-1977,hombre,40,cristianismo,196385,casado,directivo_gerente
192,17,Palermo,relacion_de_dependencia,39,universidad_3_anio,separado,0,hombre,50,cristianismo,163205,sin_familia,profesional_especializado
193,14,Palermo,relacion_de_dependencia,47,5_anio,divorciado,0,mujer,37,judaismo,411047,sin_familia,entretenimiento
194,8,Palermo,,79,7-8_grado,viudo_a,0,hombre,40,cristianismo,48574,sin_familia,
195,13,Palermo,relacion_de_dependencia,26,4_anio,sin_matrimonio,0,mujer,55,judaismo,209440,soltero_a,profesional_especializado
196,14,Palermo,relacion_de_dependencia,31,5_anio,divorciado,0,mujer,40,cristianismo,56964,soltero_a,directivo_gerente
197,14,Palermo,relacion_de_dependencia,44,5_anio,sin_matrimonio,0,hombre,45,cristianismo,299197,sin_familia,transporte
198,19,Palermo,responsable_inscripto,42,universiada_5_anio,matrimonio_civil,0,mujer,50,cristianismo,240628,casada,profesional_especializado
199,13,Palermo,relacion_de_dependencia,19,4_anio,sin_matrimonio,0,mujer,40,cristianismo,355313,sin_familia,inspector
200,13,Palermo,relacion_de_dependencia,27,4_anio,matrimonio_civil,0,hombre,40,cristianismo,132267,casado,limpiador
201,14,Palermo,empleado_municipal,51,5_anio,matrimonio_civil,0,hombre,40,cristianismo,174861,casado,seguridad
202,17,Palermo,responsable_inscripto,28,universidad_3_anio,matrimonio_civil,0,hombre,50,cristianismo,142443,casado,directivo_gerente
203,17,Palermo,relacion_de_dependencia,57,universidad_3_anio,divorciado,0,hombre,45,cristianismo,26716,sin_familia,reparador
204,17,Palermo,empleado_municipal,45,universidad_3_anio,divorciado,0,mujer,40,cristianismo,185588,soltero_a,profesional_especializado
205,15,Palermo,relacion_de_dependencia,50,universidad_1_anio,matrimonio_civil,0,hombre,40,cristianismo,175029,casado,profesional_especializado
206,17,Palermo,responsable_inscripto,34,universidad_3_anio,matrimonio_civil,0,hombre,54,cristianismo,34848,casado,ventas
207,8,Palermo,relacion_de_dependencia,45,7-8_grado,matrimonio_civil,0,hombre,40,judaismo,411273,casado,reparador
208,13,Palermo,empleado_municipal,73,4_anio,matrimonio_civil,0,hombre,20,cristianismo,143437,casado,directivo_gerente
209,17,Palermo,relacion_de_dependencia,34,universidad_3_anio,matrimonio_civil,0,mujer,50,cristianismo,357145,casada,profesional_especializado
210,14,Palermo,relacion_de_dependencia,31,5_anio,matrimonio_civil,0,hombre,55,cristianismo,236861,casado,ventas
211,11,Palermo,relacion_de_dependencia,19,2_anio,sin_matrimonio,0,hombre,12,cristianismo,53355,sin_familia,ventas
212,14,Palermo,relacion_de_dependencia,25,5_anio,sin_matrimonio,0,mujer,50,cristianismo,29106,con_hijos,otros
213,15,Palermo,empleadao_estatal,38,universidad_1_anio,divorciado,6497,mujer,40,cristianismo,213274,soltero_a,reparador
214,17,Palermo,relacion_de_dependencia,39,universidad_3_anio,matrimonio_civil,0,hombre,40,cristianismo,22463,casado,transporte
215,17,Palermo,relacion_de_dependencia,23,universidad_3_anio,sin_matrimonio,0,mujer,32,judaismo,180497,con_hijos,soporte_tecnico
216,13,Palermo,relacion_de_dependencia,49,4_anio,matrimonio_civil,0,hombre,40,cristianismo,37306,casado,inspector
217,13,Palermo,empleadao_estatal,33,4_anio,sin_matrimonio,0,hombre,32,cristianismo,137814,sin_familia,otros
218,6,Belgrano,relacion_de_dependencia,21,5-6_grado,sin_matrimonio,0,hombre,38,cristianismo,447488,otro,inspector
219,15,Palermo,relacion_de_dependencia,31,universidad_1_anio,separado,0,hombre,40,cristianismo,220915,sin_familia,reparador
220,17,Palermo,relacion_de_dependencia,23,universidad_3_anio,sin_matrimonio,0,mujer,45,cristianismo,42251,sin_familia,directivo_gerente
221,17,San Isidro,relacion_de_dependencia,34,universidad_3_anio,matrimonio_civil,0,hombre,40,budismo,162312,casado,entretenimiento
